sys,sat,n_epochs,n_complete,n_slips,n_outliers,mp1_rms_m,mp2_rms_m,iod_rms_mps,n_iod_jumps
G,G05,180,180,4,2,0.33850228232689644,0.3019012630440044,0.0020336384219019005,0
G,G15,180,180,0,0,0.2973639181132128,0.2780983162309596,0.0021189946592647347,0
G,G24,180,180,0,0,0.28733305039068685,0.3116168256382383,0.0020582054780907224,0
G,G29,180,180,0,0,0.2905904031283647,0.28593751220896263,0.0021272295012274628,0
R,R09,180,180,0,0,0.3217472681170899,0.2733924219771155,0.0024800616471469055,0
R,R10,180,180,0,0,0.30285173616074024,0.26446937261025283,0.00216145915252046,0
R,R22,180,180,0,0,0.26071135152059144,0.27851328395733904,0.002473496085638746,0
C,C01,180,180,0,0,0.28615946922806673,0.29699570571408107,0.0026050964385795406,0
C,C06,180,180,4,2,0.3071359799466058,0.2715144569632267,0.0023574414463647456,0
C,C11,180,180,0,0,0.28599650802617194,0.3200766224974552,0.0024961661647673085,0
C,C23,180,180,0,0,0.30094361003737014,0.30318721905641344,0.0030218230297990806,0
E,E07,180,180,0,0,0.28113191699320655,0.309163909850126,0.0017884128833377663,0
E,E13,180,180,0,0,0.2996155824882543,0.27655570829272447,0.0015341109241256816,0
E,E26,180,180,0,0,0.30974460692602235,0.27521427195029363,0.0019148694149721463,0
J,J03,180,180,0,0,0.3064539455708088,0.29371068040418646,0.0020132592261995685,0
